cluster,ad,reuse_creative,direction,ratio,path,utm_content
medical,medical-billing,Medical_Harassment,photo,1x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/medical-debt/v3-pilot/Medical_Harassment_D2_Photo_1x1.png,medical-billing-photo
medical,medical-billing,Medical_Harassment,photo,1.91x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/medical-debt/v3-pilot/Medical_Harassment_D2_Photo_1_91x1.png,medical-billing-photo
medical,medical-billing,Medical_Harassment,stilllife,1x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/medical-debt/v3-pilot/Medical_Harassment_D3_StillLife_1x1.png,medical-billing-stilllife
medical,medical-billing,Medical_Harassment,stilllife,1.91x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/medical-debt/v3-pilot/Medical_Harassment_D3_StillLife_1_91x1.png,medical-billing-stilllife
credit-card,creditcard-validation,CC_Negotiation,illustration,1x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/credit-card/v3-pilot/CC_Negotiation_D1_Illustration_1x1.png,creditcard-validation-illustration
credit-card,creditcard-validation,CC_Negotiation,illustration,1.91x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/credit-card/v3-pilot/CC_Negotiation_D1_Illustration_1_91x1.png,creditcard-validation-illustration
credit-card,creditcard-validation,CC_Negotiation,photo,1x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/credit-card/v3-pilot/CC_Negotiation_D2_Photo_1x1.png,creditcard-validation-photo
credit-card,creditcard-validation,CC_Negotiation,photo,1.91x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/credit-card/v3-pilot/CC_Negotiation_D2_Photo_1_91x1.png,creditcard-validation-photo
credit-card,creditcard-validation,CC_Negotiation,stilllife,1x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/credit-card/v3-pilot/CC_Negotiation_D3_StillLife_1x1.png,creditcard-validation-stilllife
credit-card,creditcard-validation,CC_Negotiation,stilllife,1.91x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/credit-card/v3-pilot/CC_Negotiation_D3_StillLife_1_91x1.png,creditcard-validation-stilllife
credit-card,creditcard-collections,CC_Harassment,illustration,1x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/credit-card/v3-pilot/CC_Harassment_D1_Illustration_1x1.png,creditcard-collections-illustration
credit-card,creditcard-collections,CC_Harassment,illustration,1.91x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/credit-card/v3-pilot/CC_Harassment_D1_Illustration_1_91x1.png,creditcard-collections-illustration
credit-card,creditcard-collections,CC_Harassment,photo,1x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/credit-card/v3-pilot/CC_Harassment_D2_Photo_1x1.png,creditcard-collections-photo
credit-card,creditcard-collections,CC_Harassment,photo,1.91x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/credit-card/v3-pilot/CC_Harassment_D2_Photo_1_91x1.png,creditcard-collections-photo
credit-card,creditcard-collections,CC_Harassment,stilllife,1x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/credit-card/v3-pilot/CC_Harassment_D3_StillLife_1x1.png,creditcard-collections-stilllife
credit-card,creditcard-collections,CC_Harassment,stilllife,1.91x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/credit-card/v3-pilot/CC_Harassment_D3_StillLife_1_91x1.png,creditcard-collections-stilllife
